地区ID,地区名,座標点数,経度,緯度,順序
1,"一番町",6,134.554548,34.072042,1
1,"一番町",6,134.553192,34.072633,2
1,"一番町",6,134.552611,34.071727,3
1,"一番町",6,134.55387,34.07148,4
1,"一番町",6,134.55389,34.071947,5
1,"一番町",6,134.554548,34.072042,6
2,"北出来島町１丁目",5,134.548165,34.078366,1
2,"北出来島町１丁目",5,134.54766,34.078635,2
2,"北出来島町１丁目",5,134.547343,34.078027,3
2,"北出来島町１丁目",5,134.547867,34.077822,4
2,"北出来島町１丁目",5,134.548165,34.078366,5
3,"北出来島町２丁目",14,134.548165,34.078366,1
3,"北出来島町２丁目",14,134.548634,34.078136,2
3,"北出来島町２丁目",14,134.548885,34.078521,3
3,"北出来島町２丁目",14,134.547968,34.078951,4
3,"北出来島町２丁目",14,134.545808,34.08,5
3,"北出来島町２丁目",14,134.544535,34.08,6
3,"北出来島町２丁目",14,134.544611,34.079756,7
3,"北出来島町２丁目",14,134.544983,34.079924,8
3,"北出来島町２丁目",14,134.54556,34.079123,9
3,"北出来島町２丁目",14,134.54652,34.078424,10
3,"北出来島町２丁目",14,134.547228,34.077873,11
3,"北出来島町２丁目",14,134.547343,34.078027,12
3,"北出来島町２丁目",14,134.54766,34.078635,13
3,"北出来島町２丁目",14,134.548165,34.078366,14
4,"幸町１丁目",9,134.55387,34.07148,1
4,"幸町１丁目",9,134.553898,34.070803,2
4,"幸町１丁目",9,134.554593,34.070762,3
4,"幸町１丁目",9,134.554595,34.071493,4
4,"幸町１丁目",9,134.555418,34.071538,5
4,"幸町１丁目",9,134.55509,34.072154,6
4,"幸町１丁目",9,134.554548,34.072042,7
4,"幸町１丁目",9,134.55389,34.071947,8
4,"幸町１丁目",9,134.55387,34.07148,9
5,"幸町２丁目",8,134.553898,34.070803,1
5,"幸町２丁目",8,134.553871,34.070006,2
5,"幸町２丁目",8,134.55385,34.06957,3
5,"幸町２丁目",8,134.555953,34.06967,4
5,"幸町２丁目",8,134.555418,34.071538,5
5,"幸町２丁目",8,134.554595,34.071493,6
5,"幸町２丁目",8,134.554593,34.070762,7
5,"幸町２丁目",8,134.553898,34.070803,8
6,"幸町３丁目",11,134.55385,34.06957,1
6,"幸町３丁目",11,134.553835,34.06888,2
6,"幸町３丁目",11,134.553804,34.068392,3
6,"幸町３丁目",11,134.552586,34.068525,4
6,"幸町３丁目",11,134.552319,34.067874,5
6,"幸町３丁目",11,134.553355,34.067519,6
6,"幸町３丁目",11,134.553782,34.067392,7
6,"幸町３丁目",11,134.555593,34.06718,8
6,"幸町３丁目",11,134.556405,34.067104,9
6,"幸町３丁目",11,134.555953,34.06967,10
6,"幸町３丁目",11,134.55385,34.06957,11
7,"新内町",7,134.553871,34.070006,1
7,"新内町",7,134.552927,34.070299,2
7,"新内町",7,134.552759,34.069719,3
7,"新内町",7,134.552645,34.069056,4
7,"新内町",7,134.553835,34.06888,5
7,"新内町",7,134.55385,34.06957,6
7,"新内町",7,134.553871,34.070006,7
8,"新蔵町１丁目",13,134.555953,34.06967,1
8,"新蔵町１丁目",13,134.556405,34.067104,2
8,"新蔵町１丁目",13,134.557129,34.067034,3
8,"新蔵町１丁目",13,134.557314,34.067986,4
8,"新蔵町１丁目",13,134.55762,34.069257,5
8,"新蔵町１丁目",13,134.559046,34.069063,6
8,"新蔵町１丁目",13,134.559439,34.071535,7
8,"新蔵町１丁目",13,134.558075,34.071614,8
8,"新蔵町１丁目",13,134.557921,34.070415,9
8,"新蔵町１丁目",13,134.55658,34.070465,10
8,"新蔵町１丁目",13,134.556721,34.071604,11
8,"新蔵町１丁目",13,134.555418,34.071538,12
8,"新蔵町１丁目",13,134.555953,34.06967,13
9,"新蔵町２丁目",7,134.559046,34.069063,1
9,"新蔵町２丁目",7,134.559042,34.069048,2
9,"新蔵町２丁目",7,134.560374,34.06886,3
9,"新蔵町２丁目",7,134.560347,34.070959,4
9,"新蔵町２丁目",7,134.560332,34.071479,5
9,"新蔵町２丁目",7,134.559439,34.071535,6
9,"新蔵町２丁目",7,134.559046,34.069063,7
10,"新蔵町３丁目",7,134.560374,34.06886,1
10,"新蔵町３丁目",7,134.562868,34.068475,2
10,"新蔵町３丁目",7,134.562483,34.07131,3
10,"新蔵町３丁目",7,134.561276,34.071434,4
10,"新蔵町３丁目",7,134.561314,34.070966,5
10,"新蔵町３丁目",7,134.560347,34.070959,6
10,"新蔵町３丁目",7,134.560374,34.06886,7
11,"寺島本町西１丁目",11,134.550511,34.073649,1
11,"寺島本町西１丁目",11,134.549777,34.073977,2
11,"寺島本町西１丁目",11,134.550507,34.075095,3
11,"寺島本町西１丁目",11,134.548654,34.07586,4
11,"寺島本町西１丁目",11,134.547693,34.074014,5
11,"寺島本町西１丁目",11,134.546893,34.073602,6
11,"寺島本町西１丁目",11,134.5473,34.073096,7
11,"寺島本町西１丁目",11,134.54853,34.071566,8
11,"寺島本町西１丁目",11,134.549129,34.071986,9
11,"寺島本町西１丁目",11,134.549712,34.072676,10
11,"寺島本町西１丁目",11,134.550511,34.073649,11
12,"寺島本町西２丁目",9,134.548654,34.07586,1
12,"寺島本町西２丁目",9,134.547586,34.07638,2
12,"寺島本町西２丁目",9,134.546502,34.075485,3
12,"寺島本町西２丁目",9,134.54574,34.076236,4
12,"寺島本町西２丁目",9,134.54468,34.0755,5
12,"寺島本町西２丁目",9,134.546091,34.074437,6
12,"寺島本町西２丁目",9,134.546893,34.073602,7
12,"寺島本町西２丁目",9,134.547693,34.074014,8
12,"寺島本町西２丁目",9,134.548654,34.07586,9
13,"寺島本町東１丁目",5,134.554548,34.072042,1
13,"寺島本町東１丁目",5,134.55509,34.072154,2
13,"寺島本町東１丁目",5,134.553774,34.073495,3
13,"寺島本町東１丁目",5,134.553192,34.072633,4
13,"寺島本町東１丁目",5,134.554548,34.072042,5
14,"寺島本町東２丁目",8,134.553192,34.072633,1
14,"寺島本町東２丁目",8,134.553774,34.073495,2
14,"寺島本町東２丁目",8,134.55346,34.073679,3
14,"寺島本町東２丁目",8,134.553318,34.073486,4
14,"寺島本町東２丁目",8,134.552659,34.073683,5
14,"寺島本町東２丁目",8,134.55179,34.072709,6
14,"寺島本町東２丁目",8,134.552611,34.071727,7
14,"寺島本町東２丁目",8,134.553192,34.072633,8
15,"寺島本町東３丁目",8,134.550511,34.073649,1
15,"寺島本町東３丁目",8,134.55179,34.072709,2
15,"寺島本町東３丁目",8,134.552659,34.073683,3
15,"寺島本町東３丁目",8,134.553318,34.073486,4
15,"寺島本町東３丁目",8,134.55346,34.073679,5
15,"寺島本町東３丁目",8,134.550507,34.075095,6
15,"寺島本町東３丁目",8,134.549777,34.073977,7
15,"寺島本町東３丁目",8,134.550511,34.073649,8
16,"出来島本町１丁目",7,134.547343,34.078027,1
16,"出来島本町１丁目",7,134.547228,34.077873,2
16,"出来島本町１丁目",7,134.54652,34.078424,3
16,"出来島本町１丁目",7,134.545305,34.07748,4
16,"出来島本町１丁目",7,134.547181,34.076549,5
16,"出来島本町１丁目",7,134.547867,34.077822,6
16,"出来島本町１丁目",7,134.547343,34.078027,7
17,"出来島本町２丁目",7,134.54556,34.079123,1
17,"出来島本町２丁目",7,134.544827,34.0787,2
17,"出来島本町２丁目",7,134.545185,34.078233,3
17,"出来島本町２丁目",7,134.54447,34.077858,4
17,"出来島本町２丁目",7,134.545305,34.07748,5
17,"出来島本町２丁目",7,134.54652,34.078424,6
17,"出来島本町２丁目",7,134.54556,34.079123,7
18,"出来島本町３丁目",9,134.544535,34.08,1
18,"出来島本町３丁目",9,134.54368,34.08,2
18,"出来島本町３丁目",9,134.543437,34.079923,3
18,"出来島本町３丁目",9,134.543956,34.078522,4
18,"出来島本町３丁目",9,134.544827,34.0787,5
18,"出来島本町３丁目",9,134.54556,34.079123,6
18,"出来島本町３丁目",9,134.544983,34.079924,7
18,"出来島本町３丁目",9,134.544611,34.079756,8
18,"出来島本町３丁目",9,134.544535,34.08,9
19,"出来島本町４丁目",8,134.544827,34.0787,1
19,"出来島本町４丁目",8,134.543956,34.078522,2
19,"出来島本町４丁目",8,134.543437,34.079923,3
19,"出来島本町４丁目",8,134.543016,34.079534,4
19,"出来島本町４丁目",8,134.542742,34.078597,5
19,"出来島本町４丁目",8,134.54447,34.077858,6
19,"出来島本町４丁目",8,134.545185,34.078233,7
19,"出来島本町４丁目",8,134.544827,34.0787,8
20,"徳島本町１丁目",7,134.558075,34.071614,1
20,"徳島本町１丁目",7,134.558261,34.073125,2
20,"徳島本町１丁目",7,134.557053,34.073224,3
20,"徳島本町１丁目",7,134.556721,34.071604,4
20,"徳島本町１丁目",7,134.55658,34.070465,5
20,"徳島本町１丁目",7,134.557921,34.070415,6
20,"徳島本町１丁目",7,134.558075,34.071614,7
21,"徳島本町２丁目",6,134.559439,34.071535,1
21,"徳島本町２丁目",6,134.560332,34.071479,2
21,"徳島本町２丁目",6,134.560346,34.07295,3
21,"徳島本町２丁目",6,134.558261,34.073125,4
21,"徳島本町２丁目",6,134.558075,34.071614,5
21,"徳島本町２丁目",6,134.559439,34.071535,6
22,"徳島本町３丁目",5,134.560347,34.070959,1
22,"徳島本町３丁目",5,134.561314,34.070966,2
22,"徳島本町３丁目",5,134.561276,34.071434,3
22,"徳島本町３丁目",5,134.560332,34.071479,4
22,"徳島本町３丁目",5,134.560347,34.070959,5
23,"通町１丁目",10,134.552611,34.071727,1
23,"通町１丁目",10,134.552322,34.071114,2
23,"通町１丁目",10,134.551998,34.070579,3
23,"通町１丁目",10,134.552568,34.070733,4
23,"通町１丁目",10,134.552432,34.070442,5
23,"通町１丁目",10,134.552927,34.070299,6
23,"通町１丁目",10,134.553871,34.070006,7
23,"通町１丁目",10,134.553898,34.070803,8
23,"通町１丁目",10,134.55387,34.07148,9
23,"通町１丁目",10,134.552611,34.071727,10
24,"通町２丁目",5,134.552611,34.071727,1
24,"通町２丁目",5,134.551337,34.072142,2
24,"通町２丁目",5,134.550906,34.071557,3
24,"通町２丁目",5,134.552322,34.071114,4
24,"通町２丁目",5,134.552611,34.071727,5
25,"通町３丁目",8,134.549129,34.071986,1
25,"通町３丁目",8,134.549434,34.071761,2
25,"通町３丁目",8,134.549593,34.071878,3
25,"通町３丁目",8,134.550696,34.071272,4
25,"通町３丁目",8,134.550906,34.071557,5
25,"通町３丁目",8,134.551337,34.072142,6
25,"通町３丁目",8,134.549712,34.072676,7
25,"通町３丁目",8,134.549129,34.071986,8
26,"徳島町城内",19,134.548634,34.078136,1
26,"徳島町城内",19,134.548051,34.076522,2
26,"徳島町城内",19,134.547571,34.076386,3
26,"徳島町城内",19,134.547586,34.07638,4
26,"徳島町城内",19,134.548654,34.07586,5
26,"徳島町城内",19,134.550507,34.075095,6
26,"徳島町城内",19,134.55346,34.073679,7
26,"徳島町城内",19,134.553774,34.073495,8
26,"徳島町城内",19,134.55509,34.072154,9
26,"徳島町城内",19,134.555418,34.071538,10
26,"徳島町城内",19,134.556721,34.071604,11
26,"徳島町城内",19,134.557053,34.073224,12
26,"徳島町城内",19,134.557599,34.07677,13
26,"徳島町城内",19,134.555417,34.076586,14
26,"徳島町城内",19,134.55397,34.076692,15
26,"徳島町城内",19,134.552065,34.077356,16
26,"徳島町城内",19,134.551132,34.077674,17
26,"徳島町城内",19,134.548885,34.078521,18
26,"徳島町城内",19,134.548634,34.078136,19
27,"徳島町３丁目",5,134.558261,34.073125,1
27,"徳島町３丁目",5,134.558728,34.076398,2
27,"徳島町３丁目",5,134.557599,34.07677,3
27,"徳島町３丁目",5,134.557053,34.073224,4
27,"徳島町３丁目",5,134.558261,34.073125,5
28,"中洲町１丁目",6,134.557314,34.067986,1
28,"中洲町１丁目",6,134.558757,34.067807,2
28,"中洲町１丁目",6,134.559042,34.069048,3
28,"中洲町１丁目",6,134.559046,34.069063,4
28,"中洲町１丁目",6,134.55762,34.069257,5
28,"中洲町１丁目",6,134.557314,34.067986,6
29,"中洲町２丁目",7,134.557129,34.067034,1
29,"中洲町２丁目",7,134.560072,34.066593,2
29,"中洲町２丁目",7,134.560374,34.06886,3
29,"中洲町２丁目",7,134.559042,34.069048,4
29,"中洲町２丁目",7,134.558757,34.067807,5
29,"中洲町２丁目",7,134.557314,34.067986,6
29,"中洲町２丁目",7,134.557129,34.067034,7
30,"中洲町３丁目",7,134.560374,34.06886,1
30,"中洲町３丁目",7,134.560072,34.066593,2
30,"中洲町３丁目",7,134.561082,34.066415,3
30,"中洲町３丁目",7,134.562833,34.066575,4
30,"中洲町３丁目",7,134.563548,34.066679,5
30,"中洲町３丁目",7,134.562868,34.068475,6
30,"中洲町３丁目",7,134.560374,34.06886,7
31,"中通町１丁目",6,134.552322,34.071114,1
31,"中通町１丁目",6,134.550906,34.071557,2
31,"中通町１丁目",6,134.550696,34.071272,3
31,"中通町１丁目",6,134.550539,34.071018,4
31,"中通町１丁目",6,134.551998,34.070579,5
31,"中通町１丁目",6,134.552322,34.071114,6
32,"中通町２丁目",5,134.550539,34.071018,1
32,"中通町２丁目",5,134.550197,34.070542,2
